"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013/2014","Prince Edward Island","2016A000211","Executive MBA","Current dollars","75","units","0","v74039604","3.7","15380","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Executive MBA","Current dollars","75","units","0","v74039604","3.7","16320","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Executive MBA","Current dollars","75","units","0","v74039604","3.7","16500","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Executive MBA","Current dollars","75","units","0","v74039604","3.7","16500","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Executive MBA","Current dollars","75","units","0","v74039604","3.7","16995","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Executive MBA","Current dollars","75","units","0","v74039604","3.7","17335","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Executive MBA","Current dollars","75","units","0","v74039604","3.7","18382","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Executive MBA","Current dollars","75","units","0","v74039604","3.7","18753","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Executive MBA","Current dollars","75","units","0","v74039604","3.7","18942","","","","0"
"2022/2023","Prince Edward Island","2016A000211","Executive MBA","Current dollars","75","units","0","v74039604","3.7","19320","","","","0"
"2023/2024","Prince Edward Island","2016A000211","Executive MBA","Current dollars","75","units","0","v74039604","3.7","20090","","","","0"
"2009/2010","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","12100","","","","0"
"2010/2011","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","12800","","","","0"
"2011/2012","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","13900","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","","..","","","0"
"2013/2014","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","","..","","","0"
"2014/2015","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","","..","","","0"
"2015/2016","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","","..","","","0"
"2016/2017","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","","..","","","0"
"2017/2018","Prince Edward Island","2016A000211","Regular MBA","Current dollars","75","units","0","v62427352","3.8","","..","","","0"
